15.6	18.5	18.4	18.0	17.6
14.2	15.6	16.6	14.6	16.9
16.5	16.8	16.4	15.7	17.0
14.8	16.6	15.6	15.9	18.0
17.3	19.6	19.5	15.8	16.3
17.8	19.4	14.5	16.1	14.8
16.4	17.7	15.3	16.0	16.7
17.3	16.4	15.1	17.2	15.8
18.0	18.8	17.3	15.9	15.7
16.7	17.0	13.9	16.2	15.3
16.9	16.8	16.7	16.9	16.6
14.8	14.8	17.1	17.5	14.6
19.7	15.9	17.2	18.4	17.7
14.5	14.9	16.4	18.1	16.8
15.2	15.0	17.7	15.2	16.3
16.8	14.3	17.0	16.6	13.9
15.7	16.1	16.4	17.1	16.6
15.9	16.0	17.2	16.1	15.7
14.8	15.7	16.1	18.0	17.4
15.9	16.2	14.5	16.5	17.2
18.3	15.8	18.8	14.1	16.3
15.8	16.0	14.9	15.5	16.4
14.9	13.9	18.2	15.2	16.5
14.1	15.6	14.9	19.2	16.3
15.2	16.9	19.7	17.3	16.3
14.6	16.3	16.0	16.8	15.9
15.1	16.4	16.1	16.6	17.8
13.1	15.6	17.0	14.6	18.4
16.4	17.8	16.5	17.0	15.6
18.1	16.4	16.8	15.1	18.4
16.5	16.9	17.7	16.1	17.3
15.8	15.5	17.7	15.5	16.4
18.0	14.4	14.4	13.7	17.1
16.2	14.9	16.4	17.8	18.7
18.5	17.0	18.2	16.8	15.3
18.2	15.4	18.4	15.3	14.7
18.1	15.9	15.3	14.1	17.6
18.2	14.4	16.1	15.6	17.8
15.0	14.6	15.4	14.3	15.7
16.6	15.8	17.7	16.1	17.1
