1.00	1.00	0.60	0.60	0.60	0.20	0.20	1.40	1.40	1.40	1.00
1.00	1.00	0.60	0.60	0.60	0.20	0.20	1.40	1.40	1.40	1.00
1.67	1.67	1.00	1.00	1.00	0.33	0.33	2.33	2.33	2.33	1.67
1.67	1.67	1.00	1.00	1.00	0.33	0.33	2.33	2.33	2.33	1.67
1.67	1.67	1.00	1.00	1.00	0.33	0.33	2.33	2.33	2.33	1.67
5.00	5.00	3.00	3.00	3.00	1.00	1.00	7.00	7.00	7.00	5.00
5.00	5.00	3.00	3.00	3.00	1.00	1.00	7.00	7.00	7.00	5.00
0.71	0.71	0.43	0.43	0.43	0.14	0.14	1.00	1.00	1.00	0.71
0.71	0.71	0.43	0.43	0.43	0.14	0.14	1.00	1.00	1.00	0.71
0.71	0.71	0.43	0.43	0.43	0.14	0.14	1.00	1.00	1.00	0.71
1.00	1.00	0.60	0.60	0.60	0.20	0.20	1.40	1.40	1.40	1.00
