1.00	3.00	5.00	3.00	1.00	3.00	3.00	7.00	5.00	1.00	3.00
0.33	1.00	1.67	1.00	0.33	1.00	1.00	2.33	1.67	0.33	1.00
0.20	0.60	1.00	0.60	0.20	0.60	0.60	1.40	1.00	0.20	0.60
0.33	1.00	1.67	1.00	0.33	1.00	1.00	2.33	1.67	0.33	1.00
1.00	3.00	5.00	3.00	1.00	3.00	3.00	7.00	5.00	1.00	3.00
0.33	1.00	1.67	1.00	0.33	1.00	1.00	2.33	1.67	0.33	1.00
0.33	1.00	1.67	1.00	0.33	1.00	1.00	2.33	1.67	0.33	1.00
0.14	0.43	0.71	0.43	0.14	0.43	0.43	1.00	0.71	0.14	0.43
0.20	0.60	1.00	0.60	0.20	0.60	0.60	1.40	1.00	0.20	0.60
1.00	3.00	5.00	3.00	1.00	3.00	3.00	7.00	5.00	1.00	3.00
0.33	1.00	1.67	1.00	0.33	1.00	1.00	2.33	1.67	0.33	1.00
