1.00	0.63	0.38	0.50	0.75	0.63	0.13	0.38	0.13	1.13	0.88
1.60	1.00	0.60	0.80	1.20	1.00	0.20	0.60	0.20	1.80	1.40
2.67	1.67	1.00	1.33	2.00	1.67	0.33	1.00	0.33	3.00	2.33
2.00	1.25	0.75	1.00	1.50	1.25	0.25	0.75	0.25	2.25	1.75
1.33	0.83	0.50	0.67	1.00	0.83	0.17	0.50	0.17	1.50	1.17
1.60	1.00	0.60	0.80	1.20	1.00	0.20	0.60	0.20	1.80	1.40
8.00	5.00	3.00	4.00	6.00	5.00	1.00	3.00	1.00	9.00	7.00
2.67	1.67	1.00	1.33	2.00	1.67	0.33	1.00	0.33	3.00	2.33
8.00	5.00	3.00	4.00	6.00	5.00	1.00	3.00	1.00	9.00	7.00
0.89	0.56	0.33	0.44	0.67	0.56	0.11	0.33	0.11	1.00	0.78
1.14	0.71	0.43	0.57	0.86	0.71	0.14	0.43	0.14	1.29	1.00
