1.00	0.56	0.78	0.67	0.22	0.22	0.11	0.11	0.56	0.78	0.22
1.80	1.00	1.40	1.20	0.40	0.40	0.20	0.20	1.00	1.40	0.40
1.29	0.71	1.00	0.86	0.29	0.29	0.14	0.14	0.71	1.00	0.29
1.50	0.83	1.17	1.00	0.33	0.33	0.17	0.17	0.83	1.17	0.33
4.50	2.50	3.50	3.00	1.00	1.00	0.50	0.50	2.50	3.50	1.00
4.50	2.50	3.50	3.00	1.00	1.00	0.50	0.50	2.50	3.50	1.00
9.00	5.00	7.00	6.00	2.00	2.00	1.00	1.00	5.00	7.00	2.00
9.00	5.00	7.00	6.00	2.00	2.00	1.00	1.00	5.00	7.00	2.00
1.80	1.00	1.40	1.20	0.40	0.40	0.20	0.20	1.00	1.40	0.40
1.29	0.71	1.00	0.86	0.29	0.29	0.14	0.14	0.71	1.00	0.29
4.50	2.50	3.50	3.00	1.00	1.00	0.50	0.50	2.50	3.50	1.00
