1.32	1.30	1.31	1.29
1.31	1.31	1.32	1.32
1.30	1.28	1.31	1.29
1.29	1.30	1.30	1.29
1.31	1.31	1.31	1.33
1.30	1.30	1.29	1.32
1.31	1.31	1.29	1.29
1.29	1.31	1.31	1.29
1.34	1.33	1.33	1.32
1.29	1.28	1.26	1.33
1.31	1.29	1.27	1.30
1.33	1.32	1.32	1.29
1.29	1.28	1.30	1.29
1.30	1.31	1.30	1.31
1.28	1.30	1.29	1.30
1.31	1.32	1.28	1.27
1.36	1.29	1.30	1.28
1.29	1.32	1.32	1.32
1.28	1.29	1.32	1.26
1.28	1.31	1.27	1.29
1.24	1.28	1.30	1.34
1.29	1.30	1.32	1.29
1.30	1.30	1.30	1.28
1.31	1.30	1.28	1.32
1.28	1.29	1.27	1.29
1.30	1.29	1.28	1.29
1.29	1.30	1.29	1.30
1.28	1.30	1.30	1.31
1.35	1.32	1.28	1.30
1.31	1.32	1.30	1.33
1.30	1.30	1.33	1.27
1.34	1.30	1.30	1.31
1.34	1.31	1.29	1.30
1.32	1.32	1.32	1.31
1.29	1.33	1.31	1.29
1.28	1.31	1.30	1.29
1.34	1.29	1.30	1.31
1.31	1.31	1.30	1.34
1.30	1.34	1.29	1.29
