Piezas:AFT_3462;AKV_8347;AXP_8804;BBS_7837;BOI_3876;BXS_4589;CCW_7230;CEO_6558;CES_7430;CJQ_5527;CPY_6745;CWL_2963;DAN_4302;DHU_5526;DJY_8470;DST_6549;DTC_2185;EDG_9206;EDP_3190;EEF_2240;ELF_6167;FBC_8054;FDH_4686;FRF_6202;FSW_0799;FUB_5973;FZS_8356;GTE_3633;GYV_9766;HCQ_7472;HDJ_2324;HEM_5512;HJE_5928;HLY_6740;HOE_0801;HRQ_1748;HTW_1983;HUQ_7988;ICQ_0317;IDA_7024;IKS_1581;IPM_7344;IUP_9311;JAR_3166;JBL_6850;JDW_8079;JMD_3722;KCL_8959;KEC_2113;KEX_7751;KJC_2165;KRV_5428;KXG_4483;LHS_6773;LRW_8539;LTW_0844;LVI_7082;MCK_2978;MFI_9739;MRP_0101;MXL_1941;NAP_6018;NDJ_2435;NMC_4883;NOM_2768;NTI_2939;OBQ_0627;ODL_1579;OMO_8861;OOF_1144;OWL_1558;PGJ_8065;PHK_2694;PKY_8816;PMO_4148
Maquinas:M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16
0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0
1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0
1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1
0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0
1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0
1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0
1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0
1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1
1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1
0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1
0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1
1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0
0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1
