511.20	510.58	506.85	513.08
514.50	515.12	508.03	512.25
512.34	501.07	511.38	515.05
498.71	512.55	505.27	505.59
515.77	511.35	509.23	512.92
501.49	514.73	506.51	519.70
511.10	509.51	516.21	506.87
512.11	512.39	519.25	511.73
508.08	511.59	508.09	511.17
515.57	508.48	505.23	520.05
508.51	512.56	515.59	516.01
507.59	516.92	510.04	509.53
504.85	512.73	503.79	501.02
517.98	505.42	505.28	506.13
513.24	522.41	509.08	506.90
504.48	502.05	506.91	507.21
514.22	501.58	514.94	509.76
515.20	510.04	508.54	509.33
502.42	512.62	503.45	506.74
513.70	515.80	497.70	510.68
505.23	516.80	507.12	505.74
507.09	511.14	508.63	509.03
513.38	509.00	510.25	508.75
503.49	518.53	509.55	515.71
507.99	502.64	509.88	498.96
508.79	515.65	508.94	505.62
505.50	518.25	499.87	507.78
511.41	507.15	501.82	507.26
508.23	508.91	502.40	517.09
512.32	505.90	509.82	518.06
502.34	496.73	499.37	512.77
515.54	517.57	511.97	509.31
513.38	509.00	510.25	508.75
508.79	515.65	508.94	505.62
511.41	507.15	501.82	507.26
515.54	517.57	511.97	509.31
513.56	514.03	505.86	507.34
514.57	507.36	512.92	504.74
514.18	508.78	509.50	511.65
