511.20	510.58	506.85	513.08
514.50	515.12	508.03	512.25
512.34	501.07	511.38	515.05
498.71	512.55	505.27	505.59
515.77	511.35	509.23	512.92
501.49	514.73	506.51	519.70
511.10	509.51	516.21	506.87
512.11	512.39	519.25	511.73
508.08	511.59	508.09	511.17
515.57	508.48	505.23	520.05
508.51	512.56	515.59	516.01
507.59	516.92	510.04	509.53
504.85	512.73	503.79	501.02
517.98	505.42	505.28	506.13
513.24	522.41	509.08	506.90
504.48	502.05	506.91	507.21
514.22	501.58	514.94	509.76
515.20	510.04	508.54	509.33
502.42	512.62	503.45	506.74
513.70	515.80	497.70	510.68
505.23	516.80	507.12	505.74
507.09	511.14	508.63	509.03
507.99	502.64	509.88	498.96
503.49	518.53	509.55	515.71
513.38	509.00	510.25	508.75
512.34	516.73	514.37	512.77
508.79	515.65	508.94	505.62
515.54	517.57	511.97	509.31
514.57	517.36	513.92	509.74
512.32	515.90	516.82	513.06
505.50	518.25	499.87	507.78
519.57	517.62	501.48	511.83
515.56	514.03	517.86	517.34
513.61	504.60	516.22	513.32
511.41	507.15	501.82	507.26
515.58	520.77	507.09	513.26
514.18	518.78	518.50	511.65
511.48	516.02	518.77	516.56
511.48	509.02	518.77	516.56
